Rank,Company Name,Revenue ($millions),Market Value (As of 31/03/2023) ($m),Number of Emoloyees
74,Plains GP Holdings,"$57,342","$2,551","4,100"
75,Dow,"$56,902","$38,812","37,800"
76,AIG,"$56,437","$36,948","26,200"
77,American Express,"$55,625","$1,22,734","77,300"
78,Publix Super Markets,"$54,942",-,"2,42,000"
79,Charter Communications,"$54,022","$60,477","1,01,700"
80,Tyson Foods,"$53,282","$21,096","1,42,000"
81,Deere,"$52,577","$1,22,346","82,239"
82,Cisco Systems,"$51,557","$2,14,109","83,300"
83,Nationwide,"$51,450",-,"24,791"
84,Allstate,"$51,412","$29,180","54,250"
85,Delta Air Lines,"$50,582","$22,392","95,000"
86,Liberty Mutual Insurance Group,"$49,956",-,"50,000"
87,TJX,"$49,936","$90,315","3,29,000"
88,Progressive,"$49,611","$83,743","55,063"
89,American Airlines Group,"$48,971","$9,629","1,29,700"
90,CHS,"$47,792",-,"10,014"
91,Performance Food Group,"$47,194","$9,422","34,825"
92,PBF Energy,"$46,830","$5,589","3,616"
93,Nike,"$46,710","$1,90,161","79,100"
94,Best Buy,"$46,298","$17,066","71,100"
95,Bristol-Myers Squibb,"$46,159","$1,45,780","34,300"
96,United Airlines Holdings,"$44,955","$14,474","92,795"
97,Thermo Fisher Scientific,"$44,915","$2,22,150","1,30,000"
98,Qualcomm,"$44,200","$1,42,252","51,000"
99,Abbott Laboratories,"$43,653","$1,75,984","1,15,000"
100,Coca-Cola,"$43,004","$2,68,361","82,500"
